emotion|text
anger|Bebe Neuwirth gets to 'wiggle again'
joy|Beckham to L.A.: For the game not fame
joy|Sleep more to fight childhood obesity
disgust|Abbas rejects temporary state
fear|Investigation of child porn site hits 77 nations
fear|Sleuths close in on Odysseus home
fear|Variety: Johnny Depp to make movie of spy poisoning
fear|Ice storm cripples central U.S.
surprise|Park stars as United maintain lead
surprise|Prehistoric Romeo and Juliet discovered
joy|India's famous landmark gets facelift
joy|Joseph Wambaugh's new start
sadness|Participant in water-drinking contest dies
fear|Apple drops bombshell with iPhone
joy|Bollywood's 'Brangelina' engaged
fear|Shiite fighters arrested in crackdown, Iraq says
surprise|Rio De Janeiro journal: drawing lines across the sand, between classes
fear|Models' health guidelines -- will they help?
joy|Stepping back in time at ski resort
joy|Test cricketer jailed over killing
disgust|Walnuts 'combat unhealthy fats'
surprise|Apple to Vista upgraders: 'Wait'
surprise|Injured Sarwan to miss one-dayers
disgust|Firms on alert for letter bombs
joy|Studios sign off on movie downloads
joy|Asif returns with four-wicket haul
anger|Bush authorized Iranians' arrest in Iraq, Rice says
disgust|Porn ring scandal reaches Australia
disgust|Deputy health minister arrested in US-Iraqi raid
anger|Senator Carl Krueger thinks iPods can kill you
joy|Finally, Senate okays anti-terror bill Manila
fear|Somalia declares state of emergency
joy|Matt shines with his Alpine finish
surprise|BP CEO Browne to step down in June
surprise|An iPhone by any other name? Surely not
sadness|Life in Gaza steadily worsens
anger|The energy challenge \| Exotic visions: how to cool a planet (maybe)
joy|Easy ways to (really) save $400,000
disgust|Shareholders sue Apple
fear|Findings: Can humanity survive? Want to bet on it?
fear|Iran steps up production of weapons-grade uranium
fear|Rig-threat cargo ship towed ashore
surprise|Palestinians say clashes hurt their cause
joy|Male sweat can raise hormones
surprise|Vital Signs: Hazards: Antidepressant linked to fractures in older people
fear|Peron held over '70s rights abuses
surprise|Space life search turns to TV
sadness|Super Bowl ads of cartoonish violence, perhaps reflecting toll of war
fear|YouTube told to drop celeb sex video
joy|Beckham & Posh and more athlete-celebrity couples
fear|City sets up ice storm shelters
sadness|Libby prosecutors await judge's rulings
surprise|Review: 'Alpha Dog' misses the point
surprise|Republicans plan to block Iraq debate
fear|Mixed reaction to China's Africa push
fear|Snowed in the Canadian Rockies
surprise|Skip the showers: male sweat turns women on, study says
sadness|Gently Weeps' lyrics sheet up for sale
joy|Canete wins inaugural Joburg Open
disgust|Rights group halts violent Nepal strikes
fear|Real suffer Carlos injury setback
sadness|Astronaut may have buckled under stress
fear|Gunmen abduct Filipino woman in Nigeria
joy|NFL team's fan of the year: 'Flag Lady'
fear|No 10 rejects police state claim
joy|Malaysian AirAsia X to fly in July
surprise|10 kidnapped at Nigeria oil base
surprise|Guy sweat is babe magnet
joy|Township tourism booming in South Africa
disgust|'Alpha Dog' misses the point
anger|Iran leader pays Nicaragua a visit
surprise|'Grey's,' 'Pirates' lead People's Choice
anger|Terror network
sadness|Now it's official: Iraq's a mess
sadness|Snow brings travel misery to England
anger|James Brown's 5-year-old son left out of will
sadness|Two men killed by London tube train
joy|US millions fail to buy influence in deadly Gaza power play
fear|PLO ministers agreed upon in Mecca
sadness|Squadron apologies over 'friendly-fire' death
surprise|New Orleans violence sparks tourism fears
disgust|Friendly fire pilot 'experienced'
surprise|SPACE.com: Black hole triplets spotted
surprise|Vaccines: Mandate or choice?
anger|Congolese soldiers riot, loot over pay issue
joy|Commodities lead Europe higher
surprise|Ingredient in male sweat raises women's hormone levels
surprise|Goetschl ends Austrian win drought
fear|Doomsday Clock ticking away
fear|Troops massing around Somali town
surprise|Tariq Ramadan has an identity issue
surprise|Peretz orders IDF to respond with force to north border attacks
sadness|Trains crash near Thai resort town
sadness|Hamas, Fatah return to unity gov't talks in Mecca
surprise|Pats' fourth-quarter rally finishes Chargers
sadness|7 Die As US Helicopter Crashes in Iraq
sadness|Millionaire secret Santa dies
joy|Morrissey may cheer up Eurovision
joy|Christian values guide Dungy and the Colts
anger|Israeli woman's tirade spurs PM outrage
anger|Passing exchange becomes political flashpoint
surprise|Police probe 2 church fires half mile apart
joy|Italy to try US soldier for agent's Iraq death
joy|Depp to star in spy poisoning film
joy|'24's' Jack Bauer returns
joy|US Airways boosts bid for Delta
fear|Even before its release, world climate report is criticized as too optimistic
sadness|Second hanging also went awry, Iraq tape shows
surprise|Howell takes one shot lead in Sony Open
sadness|Psych checks reviewed after astronaut's crack-up
surprise|Pap Test, a mainstay against cervical cancer, may be fading
surprise|Martins leads Newcastle fightback
joy|PS3 pricey but impressive
joy|Pluto's revenge: 'Word of the Year' award
joy|European Space Agency
anger|Hackers strike at key Internet servers
sadness|Hussein co-defendants executed
fear|Memo from Frankfurt: Germany relives 1970s terror as 2 seek release from jail
joy|Blissing out in Ojai
fear|Houston, she's got some problems
joy|Amazon.com has 'best ever' sales
anger|Hackers attack root servers
surprise|Video games can improve your vision
sadness|Internet attacked! (Did anyone notice?)
surprise|In Washington, contractors take on biggest role ever
sadness|Floods force Malaysia evacuations
fear|On MySpace, girls seek friends, boys flirt
joy|Tests of drug to block H.I.V. infection are halted over safety
sadness|Zoo polar bear to have root canal
joy|Europe take big Royal Trophy lead
fear|Israel to install cameras to show live Mughrabi footage
sadness|'We lit our last candle yesterday'
surprise|Google buys YouTube for $1.65bn
joy|PSP number one Sony platform in Japan
joy|England include Giles in WC squad
disgust|Beckham 'won't play again for Real'
sadness|Eight years for Damilola killers
sadness|PC World editor slain at California home
disgust|Hands on 'Doomsday Clock' move forward
surprise|Zach Braff says he has 'mild depression'
disgust|Investigation of child porn site hits 77 nations USA Today
surprise|Science panel calls global warming unequivocal
joy|News Baby pandas! Baby pandas! Baby pandas!
joy|Get ready for the earnings
anger|Germany agonizes over a brain drain
anger|Iran and Nicaraguan leaders meet
surprise|Secret hotels in Irish countryside
surprise|Fine wines in British Columbia
joy|Philippine president welcomes Senate approval of anti-terror bill
sadness|Small jet crashes on takeoff, killing 2
sadness|Bigger, more aggressive rats infesting UK
joy|Travel+Leisure: Next island hot spot: St. Lucia
joy|Real Mallorca rock leaders Sevilla
anger|Iran's boast on uranium enrichment is put to test
fear|Personal health: for teenagers, the car is the danger zone
joy|Bird watchers flock to see rare owl
surprise|Eye on cosmos is lost to short circuit on hubble
sadness|Too young for this: facing cancer under 40
surprise|Unilever group names new chairman
sadness|Minister slams airlines on carbon
joy|Rare optimism as North Korea talks reach crossroads
surprise|Man beheaded in southern Thailand
fear|China's 'nightmare scenario'
joy|Annual diving contest in South Korea proves a chilly challenge
disgust|Blair says he regrets delays in British soldier's inquest
surprise|Iraqi forces detain official suspected in Shia conspiracy
joy|Wellcome awards anti-fat research
fear|Fingers crossed for North Korea
fear|No intention of war with Iran, US says
fear|What Newsom faces in aftermath of scandal
surprise|Maggie Gyllenhaal's Globes babysitter: Mom
anger|As inflation soars, Zimbabwe economy plunges
disgust|Pledge: I was abused in frat hazing
fear|Experts: Fear likely shackled boy
anger|What's behind the chopper crashes in Iraq
fear|Freed Muslim terror suspect says Britain is "police state"
anger|Blair apologises over friendly fire inquest
surprise|Depp 'to make Litvinenko movie'
anger|Why gas follows oil up but not down
sadness|'Cravings' still there, sez Tara
surprise|Bill would strip convicted legislators of pensions
disgust|Bears watch as lead slips away
surprise|In clue to addiction, brain injury halts smoking
joy|In rigorous test, talk therapy works for panic disorder
anger|Rice: U.S. won't pull plug on Iraq
anger|On road to Kosovo independence, a warning: go slow
joy|Mistrial for officer who refused to go to Iraq
surprise|Rebels to join Nepal parliament
surprise|EMI warns on profits, boss goes
sadness|Subway collapse caught on camera
surprise|Stinky but true: men's sweat is made for love
joy|POLITICS-US: reprieve for officer who denounced "Immoral War"
sadness|Hunters stalk world's tallest trees
joy|Fuel spill may lead to missing jet
sadness|Sri Lanka floods displace 60,000
surprise|Justin Timberlake, Cameron Diaz announce split
surprise|Iran to hit US interests if attacked
disgust|Israel says hopes to keep Lebanon border calm
disgust|Cisco sues Apple over iPhone name
sadness|Two Palestinians killed near fence
sadness|EarthLink CEO dies at age 49
sadness|A star dies, a family feud is born
anger|Carter was a disaster, said Ford
joy|Super Bowl MVP Manning insists he's one of the guys
sadness|Personal health: the importance of knowing what the doctor is talking about
disgust|Israel's Peretz urges halt to contentious Jerusalem construction
surprise|Peter Jackson will never work for me again
surprise|U.S. keeps Iran options open
joy|European shares hit fresh highs
joy|For women, nothing's like the smell of men's sweat
fear|Looking beyond the iPhone
joy|Freed kidnap suspect: my terror at police raid
joy|Far away, Super Bowl's losers will be champs
sadness|Woman dies after water binge
joy|Mancuso sparks U.S. celebrations
surprise|ASEAN urges North Korea resolution
fear|Late penalty costs Roma the points
sadness|Mistrial declared in teacher-student rape case
joy|'Bookworm Adventures' wordsmith's joy
fear|Kylie's love split
joy|iPod good for video games
joy|Review: virtual 'American Idol' hits right notes
fear|Leo battles himself
anger|Attorneys point fingers in fight between Ryan O'Neal and son
disgust|John Grisham set for court drama
fear|Bill Gates and Craig Mundie: vista is Secure, employees are not
anger|Iraqis fault delayed U.S. plan in attack
disgust|Boy Scouts blamed for starting wildfire
fear|China urges UN action on N Korea
anger|Scorpion on a plane, a pantful of pain
surprise|Male sweat boosts women's hormone levels
fear|Mbeki on the big visit from the Chinese
surprise|French right nominates Sarkozy
fear|Israeli, Lebanese clash on border
fear|North Korea claims nuclear test
anger|Talks begin on Somalia peacekeepers
surprise|Action games improve eyesight
sadness|A small part of the brain, and its profound effects
fear|IDF shells Lebanese Army positions across northern border
anger|Thailand: missing 25 years after taking wrong bus
anger|Ballerina sparks anti-fascist row
joy|Internet boom in China is built on virtual fun
surprise|Review: PS3 pricey but impressive
joy|Machinery orders drive Asia upward
disgust|'Lost's' Fox: 'I'm a liar and a cheat'
anger|Russia to strengthen its military muscle
sadness|At Libby trial, Russert of NBC gives and gets
joy|North Korea ready to discuss first steps to nuclear resolution
surprise|Victim: Gunman bought drink after shooting
joy|Ferrer victorious in Spanish duel
fear|UK workers on alert for letter bombs
surprise|Did NASA accidentally kill life on Mars?
joy|New vaccine for cervical cancer could prove useful in men, too
sadness|Search on for victims of subway collapse
sadness|Human error caused Helios crash
fear|US to prod NATO allies for more troops to defeat Taliban
surprise|Microsoft supports OpenID authentication standard
fear|No buyer in sight for Napster
joy|Briefly: preloaded iPods, Wal-Mart movies, Apple stores
surprise|China says rich countries should take lead on global warming
joy|North Korea may begin to dismantle nukes
surprise|Tracking down hi-tech crime
surprise|Barack Obama formally announces bid for president
fear|Kidnappers seize two in Nigeria
fear|Indonesia may sell, not give, bird flu virus to scientists
sadness|Attack video saddens "friendly fire" widow
joy|Europe retain trophy with big win
joy|Cutting edge accessories for digital music players
surprise|Ice storm descends on central U.S.
sadness|Snow brings travel misery to England
sadness|Indonesia flood forces 340,000 from homes
disgust|Iraqi health minister seized in raid
anger|Ice storm brings chaos in U.S.
disgust|Stinky flower mystery solved
anger|Congressman rebukes U.S. allies for lack of support in Afghanistan
joy|Roddick overcomes Federer in final
joy|Prehistoric Romeo and Juliet discovered
surprise|Donald and Goydos share Sony lead
fear|U.S. and Iraqis are wrangling over war plans
sadness|Sea search for missing Microsoft scientist
disgust|Iran to Hit US Interests if Attacked
fear|Blair: Terror battle will be long
joy|Bear cub returned to the wilderness
fear|Carrefour sales growth falls short
anger|Allied with democrats, Lieberman easily aligns with Republicans
disgust|In the Rockies, pines die and bears feel it
disgust|Iran to strike US interests if attacked
anger|Nipple covers, other star secrets
anger|Apple: no iTunes for you if you have Vista!
fear|Smokestacks in a white wilderness divide Iceland
anger|That'll cost ya
surprise|Botched hangings in Iraq speed sectarianism
surprise|Male sweat raises female hormones
fear|7 GOP senators to force debate on troops in Iraq
joy|Bangladesh ends curfew amid unrest
disgust|Italy's dispute with US over Iraq shooting
joy|Here come the Globes!
anger|Snow causes transport chaos in Britain
surprise|Snow causes airport closures in Britain
anger|Second opinion: girl or boy? as fertility technology advances, so does an ethical debate
joy|Heavy snow causes travel chaos and shuts schools
fear|Barbaro's legacy: saving other horses
joy|Luxury digs in South Carolina's Lowcountry
sadness|Dozens killed in Baghdad bombing
sadness|Ice storms kill 21 across nation
joy|De Villiers takes over Dakar lead
surprise|Vietnam becomes WTO's 150th member
surprise|South African trio share advantage
disgust|Observatory: poison begets poison
joy|Action intensity boosts vision
surprise|Why the smell of a man's armpit is a turn-on
surprise|Nokia 5300 Xpress Music
sadness|Dell to cut bonuses, trim management
fear|Second drop in cancer deaths could point to a trend, researchers say
surprise|TV game shows go interactive
joy|Boy missing since 2002 found alive
joy|US, North Korea signed nuclear memo
joy|Russia honors Sputnik designer
fear|In Kenya's capital, a sense that danger is ever stronger
joy|Bill, thanks for the RSA memories... and laughs
disgust|Friendly fire pilot 'experienced'
joy|MySpace welcomes French friends
fear|Airlines: UK airport runway unsafe
fear|The amounts you have to pay for a bomb scare
surprise|In Egypt, Rice speaks softly
anger|Weekly Nielsen Yvonne De Carlo, 'Munsters' star, dead
sadness|Senate votes to revoke pensions
sadness|EarthLink CEO dies at age 49
sadness|Software giant SAP misses target
surprise|Vital signs: mental abilities: folic acid may improve thinking skills
surprise|De Villiers stretches overall lead
joy|Families celebrate return of sons
fear|China detains 2 after body parts found in mail
sadness|North Korea ready to discuss nuke disarmament
surprise|For women, nothing's like the smell of men's sweat
joy|Nadal wants Australian Open crown
joy|Beijing journal: Olympic construction unearths ancient treasure trove
sadness|Chinese president arrives in Mozambique, African tour nearly over
surprise|Reclusive 'Mockingbird' author attends show
surprise|Asia near pact on energy, security
fear|Philippine anti-terror law delayed until June
anger|Ex-suspect slams anti-terror laws
joy|Study detects a gene linked to Alzheimer's
surprise|Panda cub makes her debut
joy|Harris haul puts South Africa on top
fear|Weight-loss drug to be sold over the counter
surprise|Beckham outlines reasons for move
surprise|Study finds gritty air raises heart disease risk in older women
anger|Venezuela, Iran fight U.S. dominance
fear|'Housewives' star Marcia Cross on bed rest
joy|Blog: Here come the Globes!
anger|Greek police hunt embassy attackers
fear|Apple warns iTunes users to wait on Vista
fear|Tsunami fears ease after quake
fear|China considers Eurobond reserves
joy|Underarm bowls them over
sadness|At least 130 die as blast levels Baghdad market
anger|New McCain team made attack ads he once faulted
fear|Deaths as bird flu flares in Asia
joy|Hamas, Fatah leaders pledge to meet until they reach agreement
disgust|Officers had 'rapport' with alleged abductor
joy|No e-Book for Harry Potter VII
surprise|Review: Nokia 5300 Xpress Music
joy|'Can't do this anymore'? Not Jack
surprise|Black hole triplets spotted
fear|Israel weighs old city project webcast
sadness|Indonesian bird flu deaths hit 61
sadness|Somali refugees cut off from aid
fear|Microsoft downplays Vista speech-recognition hack
joy|Next island hot spot: St. Lucia
anger|Italy to hold no-show trial of Bronx GI in Iraq slay
joy|Rescued boys parents hail 'miracle'
disgust|Canadians tracked in child porn ring
surprise|Teen hacks Venezuelan government Web sites
fear|Russia plans new ICBMs, nuclear subs
disgust|Gere cheers sex workers in AIDS fight
surprise|Study: Male sweat causes female hormones to rise
sadness|Collision on icy road kills 7
joy|Surprise: China cuts price of gas
sadness|What the Godfather of Soul meant to me
joy|New Mars orbiter spots Pathfinder landing site
sadness|Mass Venezuela opposition rally
joy|Glamour -- and 'Borat' -- at Golden Globes
fear|Terror officials see Al Qaeda chiefs regaining power
disgust|Ivrea journal: In Italian town, a civics lesson from pelting neighbors
disgust|Iraqi sunni lands show new oil and gas promise
fear|Princess and heir of Franz Ferdinand fights to repeal a law and gain a castle
joy|A film star in Kampala, conjuring aminos ghost
disgust|Militants attack U.S. base in Iraq
fear|North Africa feared as staging ground for terror
disgust|Iran says Sunnis, using Pakistan as base, planned fatal bombing
anger|Anglicans rebuke U.S. branch on same-sex unions
sadness|Homemade bombs kill 65 on Indian train
fear|Al Qaeda chiefs are seen to regain power
anger|Chvez threatens to jail violators of price controls
fear|Bush declares Iran's arms role in Iraq is certain
joy|Accord on North Korea is announced
anger|U.S. says powerful Iraqi cleric is living in Iran
joy|Baghdad plan is a success, Iraq prime minister tells Bush
fear|Iraqi sunni lands show new oil and gas promise
anger|Dispute over Iraqi cleric, said to have gone to Iran
fear|Planning seen in Iraqi attacks on U.S. copters
sadness|In the world of life-saving drugs, a growing epidemic of deadly fakes
surprise|Basics: a mammal in winter with a furnace of her own
sadness|Books on science: The problems in modeling nature, with its unruly natural tendencies
joy|Believing scripture but playing by science's rules
joy|A familiar and prescient voice, brought to life
surprise|Findings : A cool $25 million for a climate backup plan
joy|Call it serendipity: a missing piece of Washington's war tent is found
anger|Free Will: Now you have it, now you don't
surprise|Archaeologists find signs of early chimps' tool use
surprise|Wizardry at Harvard: physicists move light
surprise|The summit - a slap in the face of the Palestinians
surprise|Moscow says Palestine-Israeli contacts key to Mideast peace
fear|Mideast summit edns with little progress
fear|India decries 'an act of sabotage'
joy|Pakistan-India peace talks planned despite bombings
fear|Czechs, Poles get missile warning
fear|Russia warns US against missile bases in East Europe
joy|Cheney starts visit to Japan, Australia
surprise|China: Cheney shores up the trilateral alliance
surprise|Iraq insurgents attack US base
sadness|US soldiers die in day of violence
surprise|Iraqi suicide attack kills two US troops as militants fight purge
sadness|Iran reneges on nuclear payments to Russia
joy|Top Colombia official resigns
sadness|Colombia FM resigns after relatives' arrests for militia links
anger|Foreign minister of Colombia quits in scandal
joy|New Zealand unlikely to allow crippled Japanese whaler
sadness|Damaged Japanese whaling ship may resume hunting off Antarctica
fear|Japanese whaling ship won't accept help
joy|Iran top N-envoy heads for Vienna for nuke talks
sadness|Victims of Air India still wait for justice
disgust|Kanishka bombing case: Inquiry judge threatens to quit
anger|Judge threatens to shut down Air-India inquiry
joy|Royal rescues presidential hopes with commanding performance
surprise|Royal seeks to revive French bid
joy|Sarkozy comfort zone offers a royal opportunity
anger|Hicks first in line for trial, Bush says
surprise|Australia tells Bush to speed up Guantanamo trial
disgust|Howard presses Bush on terror suspect
fear|France ends toxic alert at Canadian embassy in Paris
joy|Paris police investigate package at Canadian embassy
surprise|False alarm at Canadian embassy in Paris
disgust|Afghan forces retake town that was overrun by Taliban
fear|Taliban seize rural district in southwest as police flee
surprise|Afghan poppy war alienates farmers
disgust|Will North Korea honor pledge this time?
fear|Kim Jong-il bans Japanese cars in North Korea
disgust|Iran vs. North Korea: not all enemies are equal
joy|Catholic archbishop outlines Anglican merger hopes
joy|Anglican and Catholic churches could merge
sadness|US helicopter crash kills 8 troops in Afghanistan
sadness|Eight US soldiers killed in Zabul helicopter crash
fear|Arroyo lauds passage of anti-terror bill
fear|House passes anti-terrorism measure Manila
fear|Livingstone's transport empire may extend
fear|London is pace-setter on congestion toll, says mayor
fear|Protest greets congestion charge's westward push
sadness|Thailand attacks kill three, injure 70
joy|Thai Govt moves to smooth over relations with south
fear|Bombings say Muslim rebels won't negotiate
surprise|Roots of autism more complex than thought
surprise|Largest ever autism study identifies two genetic culprits
fear|Canadian breakthrough offers hope on autism
joy|Beware of peanut butter pathogens
surprise|Experts offer advice on salmonella
joy|Experts issue new heart disease guidelines for women
fear|For women, aspirin a day could keep stroke away
fear|High cholesterol raises stroke risk healthy women
fear|Cooked chicken breasts join tainted-food recalls
fear|Ready to eat chicken breasts recalled due to suspected listeria
surprise|Fully-cooked chicken strips recalled
surprise|Committee debates cancer vaccine plan
sadness|Stop cancer with a shot
sadness|1 mln birds to be vaccinated from bird flu near Moscow
fear|Thousands tested after Russian H5N1 outbreak
fear|Russian bird flu outbreak is deadly "Asian strain"
sadness|Bernard Matthews to lay off up to 500 workers
sadness|Matthews lays off 130 turkey workers
fear|Reopening bird flu-hitfactory ignores risks - poultryman
fear|Goodbye to girlhood
anger|Media cited for showing girls as sex objects
surprise|Sexualisation 'harms' young girls
sadness|A shot in the arm
surprise|Thousands line up to get late flu shots
fear|King county offering some free flu vaccines
disgust|Bush vows cooperation on health care
fear|Health returns as hot issue in '08 race
joy|Small-business owners find Bush health plan appealing
fear|Pediatricians say more cord blood is needed now
joy|Whether to save cord blood can be puzzle for parents
joy|Retinal implant helping blind people see again
surprise|Indonesia "will not share" flu samples
fear|Health Canada issues advice on canned tuna
sadness|Cholesterol link in diabetes study
surprise|Pig cells hope for diabetes cure
joy|Sick hearts switch on a fetal gene
surprise|Foetal mechanism helps heart failure
fear|Planned cesareans not risk-free, group warns
joy|Scientists tout cocoa's health benefits
joy|Feeding your brain: new benefits found in chocolate
joy|Some cocoa may improve brain blood flow
anger|Lawyer for deceased Nazi-era collaborator Papon vows to bury him
joy|Cocoa could be antidote to age-related diseases, says new study
disgust|China denies reports of North Korean apology
surprise|Hungarian opposition calls for vote after violence escalates
sadness|AU regrets Sudan's expulsion of UN envoy
fear|Bush officials: no big move in Iraq plan
disgust|Opponent is put on the spot over remarks about Clinton
joy|House ethics panel talks to Hastert aide
joy|BellSouth says profit rises 30% on cingular earnings
fear|Enron boss gets 24-year sentence
disgust|Sony apologizes for battery recall
joy|Google unveils do-it-yourself search engine
joy|Firefox 2.0 hits the Web
joy|Oracle World opens with Dell unveiling AMD-powered computers
joy|Seahawks' QB Hasselbeck out 2-4 weeks
sadness|Marathon winner released from hospital
anger|Punter charged with stabbing asks to live outside state
joy|Allmendinger joining Toyota team in NASCAR
fear|Trying to assess the damage in Cleveland
joy|Bryant's boot may have salvaged Bucs' season
joy|This week in auto racing October 27 - October 29
fear|Merriman violation stuns ex-teammate
surprise|Bruce revells in upset
sadness|Steelers' Roethlisberger has concussion
surprise|Arthurs upsets Robredo in first round at the St. Petersburg Open
joy|Mbeki: 2010 World Cup Planning on Track
surprise|Clinical Everton show Moyes means business
joy|MS Adds Office 2007 to Vista Coupon Program
sadness|One search does not fit all
sadness|Apple's dark secret? The 39% claim
sadness|Bad weather cancels men's downhill
joy|Cool millions for YouTube founders
joy|London market a shopping, dining haven
joy|'Jackass' star marries childhood friend The secrets people reveal
joy|Audio Slide Show: A love story lasting 61 years
joy|Microsoft to release next generation phone
sadness|Body Shop's Roddick has Hepatitis C
anger|Teen allegedly armed by mom turns self in
surprise|Oxfam: action needed for Chad
sadness|Violence continues at disputed holy site
anger|Storm leaves behind major travel troubles
sadness|3 U.S. troops killed hunting weapons cache
sadness|China's 'Friends' highlights Web freedoms
joy|NATO: Afghanistan peace 'by 2009'
joy|Alaska's northern lights captivate Japanese
sadness|Smith can't be buried until hearing
joy|Spacewalker sets new U.S. record
sadness|Fortune: India the Superpower? Think again
anger|Kerry blasts 'escalation of misguided war'
surprise|Anna Nicole claimant: A prince of a guy?
surprise|'Ronnie' and Eto'o hug and make up
joy|Best of the Chicago Auto Show
joy|'Grey's,' 'Betty,' 'Scrubs' get boost
sadness|Massive mud traps dozens of families
joy|Edwards blogger quits, becomes journalistic martyr
sadness|Town packs gym to mourn 10 killed in fire
fear|Spain ahead although Nadal is out
surprise|ECB holds rates at 3.5 percent
surprise|Iran rejects US claims of supplying weapons in Iraq
sadness|Jakarta begins disinfection
sadness|Rowling 'heartbroken,' 'euphoric' at 'Potter's' end
anger|Apple revs up Mac attacks on Vista
fear|Fear hinders black marrow donation
disgust|Texan allegedly joined Somalia rebel plot
anger|U.S. to allow 7,000 Iraqi refugees
surprise|Japan: Whaling activists 'terrorists'
joy|'Hannibal' bites the big one
anger|Women protest Pakistan demolition
joy|Wii news for gamers
